Stock,Date,Info,Sentiment Score
MSFT,2019-12-09,[],0.41459648801831256
MSFT,2019-12-10,[],0.41459648801831256
MSFT,2019-12-11,[],0.41459648801831256
MSFT,2019-12-12,[],0.41459648801831256
MSFT,2019-12-13,[],0.41459648801831256
MSFT,2019-12-16,[],0.41459648801831256
MSFT,2019-12-17,[],0.41459648801831256
MSFT,2019-12-18,[],0.41459648801831256
MSFT,2019-12-19,[],0.41459648801831256
MSFT,2019-12-20,[],0.41459648801831256
MSFT,2019-12-23,[],0.41459648801831256
MSFT,2019-12-24,[],0.41459648801831256
MSFT,2019-12-26,[],0.41459648801831256
MSFT,2019-12-27,[],0.41459648801831256
MSFT,2019-12-30,"[""microsoft says north korea based hackers stealing sensitive information"",""armed legions lobbyists companies pushing hard — successfully — weaken new federal taxes take aim overseas tax havens"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4136394709348679
MSFT,2019-12-31,[],0.41459648801831256
MSFT,2020-01-02,[],0.41459648801831256
MSFT,2020-01-03,[],0.41459648801831256
MSFT,2020-01-06,[],0.41459648801831256
MSFT,2020-01-07,[],0.41459648801831256
MSFT,2020-01-08,[],0.41459648801831256
MSFT,2020-01-09,[],0.41459648801831256
MSFT,2020-01-10,[],0.41459648801831256
MSFT,2020-01-13,[],0.41459648801831256
MSFT,2020-01-14,[],0.41459648801831256
MSFT,2020-01-15,[],0.41459648801831256
MSFT,2020-01-16,[],0.41459648801831256
MSFT,2020-01-17,"[""capitalist system “will fundamentally jeopardy” due climate change microsoft ceo satya nadella told madmoneyoncnbc jimcramer yesterday"",""streaming video game services google mean sony microsoft console wars"",null,null,null,null,null,null,null,null,null,null,""streaming video game services google mean sony microsoft console wars"",null,null,null,null,null,null,null,null,null,null,""slack shares dip microsoft prepares global ad campaign teams"",null,null,null,""microsoft bringing big guns slack new global ad campaign teams"",""capitalist system “will fundamentally jeopardy” due climate change microsoft ceo satya nadella told madmoneyoncnbc jimcramer"",""climate push microsoft erase carbon footprint atmosphere"",""exclusive first look airbnb stakeholder first corporate governance microsoft ambitious carbon negative goal inside leon black moneymaking machine today dealbook briefing"",""market cap alphabet google parent company vaulted 1 trillion first time made fourth technology company — apple amazon microsoft — pass unimaginable valuation"",""want inbox morning sign""]",0.4156352460384369
MSFT,2020-01-21,[],0.41459648801831256
MSFT,2020-01-22,"[""wednesday biggest analyst calls day boeing amp microsoft amp"",""microsoft new carbon negative plan test idea climate economy"",null,null,null,null,null,null,null,null,null,null,""streaming video game services google mean sony microsoft console wars"",null,null,null,null,null,null,null,null,null,null,""apple added siri assistant iphone 4s model 2011 giving users hand free way schedule appointments play music look information perform basic tasks less decade later digital assistants plethora digital devices including computers smart speakers dashboards watches help ease day keep household running smoothly"",null,null,null,null,null,null,null,null,null]",0.41498152911663055
MSFT,2020-01-23,[],0.41459648801831256
MSFT,2020-01-24,[],0.41459648801831256
MSFT,2020-01-27,[],0.41459648801831256
MSFT,2020-01-28,[],0.41459648801831256
MSFT,2020-01-29,[],0.41459648801831256
MSFT,2020-01-30,[],0.41459648801831256
MSFT,2020-01-31,"[""apple amazon microsoft alphabet traveled similar paths road 1 trillion"",""weekend playlist new dance number elon musk that’s thing want inbox morning sign"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4142627716064453
MSFT,2020-02-03,[],0.41459648801831256
MSFT,2020-02-04,"[""san francisco — google’s parent company alphabet said monday revenue company soared past 161 billion last year stark reminder widening gap tech’s wealthiest outfits rest industry"",""des moines — app iowa democratic party commissioned tabulate report results caucuses monday properly tested statewide scale said people briefed app state party"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4148545414209366
MSFT,2020-02-05,[],0.41459648801831256
MSFT,2020-02-06,[],0.41459648801831256
MSFT,2020-02-07,[],0.41459648801831256
MSFT,2020-02-10,[],0.41459648801831256
MSFT,2020-02-11,[],0.41459648801831256
MSFT,2020-02-12,[],0.41459648801831256
MSFT,2020-02-13,[],0.41459648801831256
MSFT,2020-02-14,[],0.41459648801831256
MSFT,2020-02-18,[],0.41459648801831256
MSFT,2020-02-19,"[""london — across digital economy europe missing"",""mike bloomberg appear onstage first time democratic debate tonight senator elizabeth warren ready “primary voters curious candidate take donald trump get live demonstration take egomaniac billionaire ” tweeted want inbox morning sign"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.414931982755661
MSFT,2020-02-20,[],0.41459648801831256
MSFT,2020-02-21,[],0.41459648801831256
MSFT,2020-02-24,[],0.41459648801831256
MSFT,2020-02-25,[],0.41459648801831256
MSFT,2020-02-26,[],0.41459648801831256
MSFT,2020-02-27,[],0.41459648801831256
MSFT,2020-02-28,[],0.41459648801831256
MSFT,2020-03-02,[],0.41459648801831256
MSFT,2020-03-03,[],0.41459648801831256
MSFT,2020-03-04,[],0.41459648801831256
MSFT,2020-03-05,[],0.41459648801831256
MSFT,2020-03-06,[],0.41459648801831256
MSFT,2020-03-09,[],0.41459648801831256
MSFT,2020-03-10,[],0.41459648801831256
MSFT,2020-03-11,[],0.41459648801831256
MSFT,2020-03-12,[],0.41459648801831256
MSFT,2020-03-13,[],0.41459648801831256
MSFT,2020-03-16,[],0.41459648801831256
MSFT,2020-03-17,[],0.41459648801831256
MSFT,2020-03-18,[],0.41459648801831256
MSFT,2020-03-19,[],0.41459648801831256
MSFT,2020-03-20,[],0.41459648801831256
MSFT,2020-03-23,"[""san francisco — iphone dictate text message put amazon’s alexa coffee table request song across room"",""oakland calif — rest economy tanking crippling impact coronavirus business biggest technology companies holding steady — even thriving"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4148115664720535
MSFT,2020-03-24,[],0.41459648801831256
MSFT,2020-03-25,[],0.41459648801831256
MSFT,2020-03-26,[],0.41459648801831256
MSFT,2020-03-27,[],0.41459648801831256
MSFT,2020-03-30,[],0.41459648801831256
MSFT,2020-03-31,[],0.41459648801831256
MSFT,2020-04-01,[],0.41459648801831256
MSFT,2020-04-02,[],0.41459648801831256
MSFT,2020-04-03,[],0.41459648801831256
MSFT,2020-04-06,[],0.41459648801831256
MSFT,2020-04-07,[],0.41459648801831256
MSFT,2020-04-08,[],0.41459648801831256
MSFT,2020-04-09,"[""listen conversation microsoft co founder billionaire philanthropist bill gates — covering everything race coronavirus vaccine businesses reopen listen subscribe squawk pod podcast squawkcnbc"",""microsoft won’t coming surface neo dual screened pc time holiday season originally planned"",null,null,null,null,null,null,null,null,null,null,""microsoft release surface neo dual screen pc later year"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4151932001113892
MSFT,2020-04-13,[],0.41459648801831256
MSFT,2020-04-14,[],0.41459648801831256
MSFT,2020-04-15,[],0.41459648801831256
MSFT,2020-04-16,[],0.41459648801831256
MSFT,2020-04-17,[],0.41459648801831256
MSFT,2020-04-20,[],0.41459648801831256
MSFT,2020-04-21,[],0.41459648801831256
MSFT,2020-04-22,[],0.41459648801831256
MSFT,2020-04-23,[],0.41459648801831256
MSFT,2020-04-24,[],0.41459648801831256
MSFT,2020-04-27,[],0.41459648801831256
MSFT,2020-04-28,[],0.41459648801831256
MSFT,2020-04-29,"[""microsoft reports q3 earnings beat says coronavirus 'minimal net impact' revenue msft"",""microsoft’s stock rises company reports 15 sales jump"",null,null,null,null,null,null,null,null,null,null,""microsoft set report earnings bell"",null,null,null,null,null,null,null,null,null,null,""even analysts trimmed earnings expectations giants like microsoft apple amazon — country’s three valuable companies investors betting covid 19 crisis accelerates growing power america’s corporate colossuses"",null,null,null,""san francisco — facebook cautioned wall street wednesday could face intensifying difficulties advertising business coronavirus pandemic also indicated toll would deep"",""paul krugman times opinion columnist nobel prize winning economist special guest next dealbook debrief call tomorrow 11 eastern discuss deficit spending debate bailouts take questions r v p join want inbox morning sign"",""alice wu wrote directed 2005 debut “saving face ” knew wasn’t going typical hollywood rom com “last emperor” star joan chen cast wildly type frumpy isn’t mysteriously pregnant mom ensemble consisted largely unknowns much film set flushing queens even neighborhood’s prettiest parts story focused budding lesbian relationship two chinese american overachievers"",null,null,null]",0.4137911583696093
MSFT,2020-04-30,"[""microsoft analysts redmond q3 beat 'a core growth holding' msft"",""new xbox schedule game production may slowed coronavirus microsoft exec says"",null,null,null,null,null,null,null,null,null,null,""microsoft narrow focus software developers year virtual build conference"",null,null,null,null,null,null,null,null,null,null,""zoom choice oracle cloud looks smart microsoft google aggressive moves video"",null,null,null,""heard street microsoft’s business diversity proves advantage pandemic driven slump"",""thursday amazon reported blockbuster first quarter sales week microsoft facebook google showed robust gains supply chain disruptions slowing ad revenue put little dent cash rich giants together apple account 20 percent p 500 index amid biggest economic crisis since great depression big tech roaring ahead"",""want inbox morning sign"",null,null,null]",0.4142881418977465
MSFT,2020-05-01,[],0.41459648801831256
MSFT,2020-05-04,[],0.41459648801831256
MSFT,2020-05-05,[],0.41459648801831256
MSFT,2020-05-06,[],0.41459648801831256
MSFT,2020-05-07,"[""microsoft unveils couple new laptops — including tiny one 399"",""morning jan 3 email sent indonesian embassy australia member premier western australia’s staff worked health ecological issues attached word document aroused immediate suspicions since intended recipient knew supposed sender"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4141286164522171
MSFT,2020-05-08,[],0.41459648801831256
MSFT,2020-05-11,[],0.41459648801831256
MSFT,2020-05-12,[],0.41459648801831256
MSFT,2020-05-13,[],0.41459648801831256
MSFT,2020-05-14,[],0.41459648801831256
MSFT,2020-05-15,"[""microsoft 5b security segment approaches 55b market opportunity msft"",""review microsoft surface book 3 delivers high speed dated design jordannovet says"",null,null,null,null,null,null,null,null,null,null,""review microsoft surface book 3 delivers high speed dated design jordannovet says"",null,null,null,null,null,null,null,null,null,null,""new subscribers friday biggest analyst calls day goldman sachs yum brands microsoft amp"",null,null,null,""microsoft surface book 3 delivers high speed dated design"",""microsoft unitedhealth offer companies free app screen employees coronavirus"",null,null,null,null]",0.4153998841842016
MSFT,2020-05-18,[],0.41459648801831256
MSFT,2020-05-19,[],0.41459648801831256
MSFT,2020-05-20,[],0.41459648801831256
MSFT,2020-05-21,[],0.41459648801831256
MSFT,2020-05-22,"[""microsoft announced dozens advances annual build conference — important"",""“it tires talk rich men ” said teddy roosevelt product wealth “you expect man millions head great industry man worth hearing rule don’t know anything outside businesses ”"",null,null,null,null,null,null,null,null,null,null,""article part tech newsletter sign receive weekdays"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4156195720036824
MSFT,2020-05-26,[],0.41459648801831256
MSFT,2020-05-27,[],0.41459648801831256
MSFT,2020-05-28,[],0.41459648801831256
MSFT,2020-05-29,[],0.41459648801831256
MSFT,2020-06-01,[],0.41459648801831256
MSFT,2020-06-02,[],0.41459648801831256
MSFT,2020-06-03,[],0.41459648801831256
MSFT,2020-06-04,[],0.41459648801831256
MSFT,2020-06-05,"[""“hate speech place world social media speech stimulates violence ” former microsoft ceo steve ballmer said week"",""combined market cap alphabet googl apple aapl amazon amzn facebook fb microsoft msft hit 5 73 trillion today new time high"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",0.4144235402345657
