_c0,_c1,_c2
"@detoxcute aww, sorry! i'll see if i can include you in a future post",1,detoxcute aww sorry see include future post
@samtaylor256 Well they certainly are cheerful,1,samtaylor256 well certainly cheerful
"@TimothyH2O night, love.",1,timothyh2o night love
"@kingsunshine It is beautifully hot today, isn't it. Was up till late last night and then again early - think I need a siesta",1,kingsunshine beautifully hot today till late last night early think need siesta
scoreee.hot johnny depp picture for June! (Y) i love my johnny depp calender,1,scoreee hot johnny depp picture june love johnny depp calender
@jayecane Thank you for musical kiss,1,jayecane thank musical kiss
#musicmonday love like this - natasha ft. sean kingston.. old song but i love it,1,musicmonday love like natasha ft sean kingston old song love
Spongebob helps me not hate the people hatin on me.,1,spongebob helps hate people hatin
@greyhoundstooth i.... killed it. by dropg it on e floor. haha! thanks for wishg me luck! i nd it!,1,greyhoundstooth killed dropg e floor haha thanks wishg luck nd
Goodnight everybody! Thanks for making 1st June a day to remember,1,goodnight everybody thanks making 1st june day remember
@essjay that's okay  life takes over sometimes!,1,essjay okay life takes sometimes
We has just put 'Malcolm' in to watch...love that my kid loves good old Oz flicks.,1,put 'malcolm' watch love kid loves good old oz flicks
"@everythingabili, @timhasting's tagwalk project reminded me of your Engagement Engine + it's good, creative ways to work data.",1,everythingabili timhasting tagwalk project reminded engagement engine good creative ways work data
"&quot;Mothers, others and Jonas Brothers&quot; wow, that would've been a great name for an album !  &lt;3 haha.",1,quot mothers others jonas brothers quot wow would great name album lt 3 haha
is almost done with this school shit.,1,almost done school shit
"BleedingCool.com is LIVE! Everyone retweet! Retweet like your lives depend on it! (via @richjohnston) Good luck, with the new venture,man",1,bleedingcool com live everyone retweet retweet like lives depend via richjohnston good luck new venture man
@TomFelton hey tom! I'm divy from indonesian. What are you up to now?,1,tomfelton hey tom divy indonesian
@turnitgrey Thats what it told me :0 imma still go  ahah,1,turnitgrey thats told 0 imma still go ahah
Last night- Country fest This morning-Dead tired but I got me a couple of hot guys last night  Well worth it,1,last night country fest morning dead tired got couple hot guys last night well worth
just let out an accidental fart~ ooOOps~,1,let accidental fart~ oooops~
Ahh strippers on a sunny monday morning ahh,1,ahh strippers sunny monday morning ahh
No More Maths  my last maths test today yay !,1,maths last maths test today yay
"@ArtMind Oh, the little one in the forest is so nice.",1,artmind oh little one forest nice
Morning! Today is the day! You know what means...it's monday and we're going to have another great night at the Loop tonight!!,1,morning today day know means monday going another great night loop tonight
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retweet,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retweet
i'm excited ! Next sunday i'm 15!,1,excited next sunday 15
"aahhh, a very eventful day... it ended on a good NOTE! thank the gods for twitter and all that keeps me going, goodnight, luv u bitches",1,aahhh eventful day ended good note thank gods twitter keeps going goodnight luv u bitches
"wow,i managed to make the meters stay right at the top.good comp skills......crappy listening experience",1,wow managed make meters stay right top good comp skills crappy listening experience
Check out this reggae show tonight in nyc: Reggae artist Cezar at SOB's @ 9pm!!! He's dope. I co-sign. Don't miss it,1,check reggae show tonight nyc reggae artist cezar sob 9pm dope co sign miss
Hey high socks  haha,1,hey high socks haha
"even though i'm alone, i'm having fun",1,even though alone fun
goodnight tweeties,1,goodnight tweeties
@EmilyMarieox hahahaha bless you! they look amazing don't they  and jacob looks mighty hot! haha i still hate him in that book though xx,1,emilymarieox hahahaha bless look amazing jacob looks mighty hot haha still hate book though xx
@ohhkayla ohhhhhh thats why. haha,1,ohhkayla ohhhhhh thats haha
"@Redkip Yes, things are going great today. There were a few erhm .. challenging nights this weekend, but all good today",1,redkip yes things going great today erhm challenging nights weekend good today
"@jlabadie72 Hey J, hope you're doing good!  Definitely think you should bring #fasttrack to the UK!  Please, please",1,jlabadie72 hey j hope good definitely think bring fasttrack uk please please
Def ready to feel the weight and freedom of having a big city around me,1,def ready feel weight freedom big city around
"@sonnyjoeflangan heyy man  just wondering, how did you do that weird as writing? it was pretty cool ayy",1,sonnyjoeflangan heyy man wondering weird writing pretty cool ayy
viendo videos d twilight,1,viendo videos twilight
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retweet,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retweet
"@britneyspears Can't wait to see you soon here in Finland, it was me who asked you in Facebook if you come to Finland  All the best &lt;3",1,britneyspears cannot wait see soon finland asked facebook come finland best lt 3
on my way home,1,way home
@mands tks,1,mands tks
time to go out and enjoy the weather i thinks,1,time go enjoy weather thinks
Phewwww! it wasn't that bad but i could have done better,1,phewwww bad could done better
A Little Too Not Over You!!! love it...,1,little love
is chatting with my blockmate  http://plurk.com/p/xm1am,1,chatting blockmate
Rainy day,1,rainy day
@YoungQ Cool thanx i found it. Last time i looked there i only found the 1st one,1,youngq cool thanx found last time looked found 1st one
@taylorswift13 lool that is soo funny,1,taylorswift13 lool soo funny
